seq,time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
1,1112,ACTIVE,CENTER,0.0,0.0,0.00,0.00,0.000,0.00,ON,0x00
2,1315,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.960,-0.40,ON,0x00
3,1545,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.40,ON,0x00
4,1775,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.50,ON,0x00
5,2005,ACTIVE,CENTER,0.2,4.9,0.20,0.20,4.956,-0.50,ON,0x00
6,2235,ACTIVE,CENTER,0.2,4.9,0.20,0.20,4.956,-0.40,ON,0x00
7,2465,ACTIVE,CENTER,0.3,4.9,0.20,0.20,4.956,-0.20,ON,0x00
8,2694,ACTIVE,CENTER,0.3,4.9,0.20,0.20,4.956,-0.60,ON,0x00
9,2909,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.40,ON,0x00
10,3139,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.50,ON,0x00
11,3369,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.956,-0.50,ON,0x00
12,3598,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.40,ON,0x00
13,3828,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.20,ON,0x00
14,4058,ACTIVE,CENTER,0.3,4.9,0.20,0.20,4.960,-0.70,ON,0x00
15,4288,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.960,-0.60,ON,0x00
16,4518,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.960,-0.60,ON,0x00
17,4735,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.30,ON,0x00
18,4965,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.30,ON,0x00
19,5195,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.956,-0.60,ON,0x00
20,5425,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.956,-0.50,ON,0x00
21,5655,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.50,ON,0x00
22,5885,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.50,ON,0x00
23,6115,ACTIVE,CENTER,0.3,4.9,0.20,0.20,4.956,-0.60,ON,0x00
24,6345,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.40,ON,0x00
25,6575,ACTIVE,CENTER,0.3,4.7,0.20,0.20,4.960,-0.30,ON,0x00
26,6789,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.50,ON,0x00
27,7019,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.30,ON,0x00
28,7249,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.50,ON,0x00
29,7479,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.40,ON,0x00
30,7709,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.30,ON,0x00
31,7938,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.60,ON,0x00
32,8168,ACTIVE,CENTER,0.2,4.8,0.20,0.20,4.956,-0.30,ON,0x00
33,8398,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.960,-0.40,ON,0x00
34,8615,ACTIVE,CENTER,0.3,4.8,0.20,0.20,4.956,-0.20,ON,0x00
35,8845,ACTIVE,CENTER,0.1,4.7,0.20,0.20,4.956,-0.50,ON,0x00
36,9075,ACTIVE,CENTER,-2.4,4.8,0.20,0.19,4.956,-0.20,ON,0x00
37,9305,ACTIVE,CENTER,-8.4,4.6,0.20,0.16,4.956,-0.40,ON,0x00
38,9535,ACTIVE,CENTER,-16.4,4.2,0.20,0.12,4.960,-0.50,ON,0x00
39,9765,ACTIVE,CENTER,-22.3,2.9,0.20,0.10,4.956,-0.40,ON,0x00
40,9995,ACTIVE,CENTER,-22.2,3.3,0.20,0.10,4.960,-0.40,ON,0x00
